primary_defect_code_id,secondary_defect_code_id
SHIPPING,00063
PACKING,00064
PACKING,00065
PACKING,00066
PACKING,00067
PACKING,00068
PACKING,00069
PACKING,00070
PACKING,00071
00009,00010
00009,00011
00009,00014
00009,00017
00009,00018
00009,00019
00009,00022
00009,00023
00009,00025
00009,00029
00009,00030
00009,00035
00009,00037
00009,00038
00009,00040
00009,00044
00009,00049
00009,00050
00009,00052
00009,00053
00009,00055
00009,00057
00009,00058
00009,00059
00010,00011
00010,00014
00010,00017
00010,00018
00010,00019
00010,00022
00010,00023
00010,00025
00010,00029
00010,00030
00010,00035
00010,00037
00010,00038
00010,00040
00010,00044
00010,00049
00010,00050
00010,00052
00010,00053
00010,00055
00010,00057
00010,00058
00010,00059
00011,00010
00011,00014
00011,00017
00011,00018
00011,00019
00011,00022
00011,00023
00011,00025
00011,00029
00011,00030
00011,00035
00011,00037
00011,00038
00011,00040
00011,00044
00011,00049
00011,00050
00011,00052
00011,00053
00011,00055
00011,00057
00011,00058
00011,00059
00014,00010
00014,00011
00014,00017
00014,00018
00014,00019
00014,00022
00014,00023
00014,00025
00014,00029
00014,00030
00014,00035
00014,00037
00014,00038
00014,00040
00014,00044
00014,00049
00014,00050
00014,00052
00014,00053
00014,00055
00014,00057
00014,00058
00014,00059
00017,00010
00017,00011
00017,00014
00017,00018
00017,00019
00017,00022
00017,00023
00017,00025
00017,00029
00017,00030
00017,00035
00017,00037
00017,00038
00017,00040
00017,00044
00017,00049
00017,00050
00017,00052
00017,00053
00017,00055
00017,00057
00017,00058
00017,00059
00018,00010
00018,00011
00018,00014
00018,00017
00018,00019
00018,00022
00018,00023
00018,00025
00018,00029
00018,00030
00018,00035
00018,00037
00018,00038
00018,00040
00018,00044
00018,00049
00018,00050
00018,00052
00018,00053
00018,00055
00018,00057
00018,00058
00018,00059
00019,00010
00019,00011
00019,00014
00019,00017
00019,00018
00019,00022
00019,00023
00019,00025
00019,00029
00019,00030
00019,00035
00019,00037
00019,00038
00019,00040
00019,00044
00019,00049
00019,00050
00019,00052
00019,00053
00019,00055
00019,00057
00019,00058
00019,00059
00022,00010
00022,00011
00022,00014
00022,00017
00022,00018
00022,00019
00022,00023
00022,00025
00022,00029
00022,00030
00022,00035
00022,00037
00022,00038
00022,00040
00022,00044
00022,00049
00022,00050
00022,00052
00022,00053
00022,00055
00022,00057
00022,00058
00022,00059
00023,00010
00023,00011
00023,00014
00023,00017
00023,00018
00023,00019
00023,00022
00023,00025
00023,00029
00023,00030
00023,00035
00023,00037
00023,00038
00023,00040
00023,00044
00023,00049
00023,00050
00023,00052
00023,00053
00023,00055
00023,00057
00023,00058
00023,00059
00025,00010
00025,00011
00025,00014
00025,00017
00025,00018
00025,00019
00025,00022
00025,00023
00025,00029
00025,00030
00025,00035
00025,00037
00025,00038
00025,00040
00025,00044
00025,00049
00025,00050
00025,00052
00025,00053
00025,00055
00025,00057
00025,00058
00025,00059
00029,00010
00029,00011
00029,00014
00029,00017
00029,00018
00029,00019
00029,00022
00029,00023
00029,00025
00029,00030
00029,00035
00029,00037
00029,00038
00029,00040
00029,00044
00029,00049
00029,00050
00029,00052
00029,00053
00029,00055
00029,00057
00029,00058
00029,00059
00030,00010
00030,00011
00030,00014
00030,00017
00030,00018
00030,00019
00030,00022
00030,00023
00030,00025
00030,00029
00030,00035
00030,00037
00030,00038
00030,00040
00030,00044
00030,00049
00030,00050
00030,00052
00030,00053
00030,00055
00030,00057
00030,00058
00030,00059
00035,00010
00035,00011
00035,00014
00035,00017
00035,00018
00035,00019
00035,00022
00035,00023
00035,00025
00035,00029
00035,00030
00035,00037
00035,00038
00035,00040
00035,00044
00035,00049
00035,00050
00035,00052
00035,00053
00035,00055
00035,00057
00035,00058
00035,00059
00037,00010
00037,00011
00037,00014
00037,00017
00037,00018
00037,00019
00037,00022
00037,00023
00037,00025
00037,00029
00037,00030
00037,00035
00037,00038
00037,00040
00037,00044
00037,00049
00037,00050
00037,00052
00037,00053
00037,00055
00037,00057
00037,00058
00037,00059
00038,00010
00038,00011
00038,00014
00038,00017
00038,00018
00038,00019
00038,00022
00038,00023
00038,00025
00038,00029
00038,00030
00038,00035
00038,00037
00038,00040
00038,00044
00038,00049
00038,00050
00038,00052
00038,00053
00038,00055
00038,00057
00038,00058
00038,00059
00040,00010
00040,00011
00040,00014
00040,00017
00040,00018
00040,00019
00040,00022
00040,00023
00040,00025
00040,00029
00040,00030
00040,00035
00040,00037
00040,00038
00040,00044
00040,00049
00040,00050
00040,00052
00040,00053
00040,00055
00040,00057
00040,00058
00040,00059
00044,00010
00044,00011
00044,00014
00044,00017
00044,00018
00044,00019
00044,00022
00044,00023
00044,00025
00044,00029
00044,00030
00044,00035
00044,00037
00044,00038
00044,00040
00044,00049
00044,00050
00044,00052
00044,00053
00044,00055
00044,00057
00044,00058
00044,00059
00049,00010
00049,00011
00049,00014
00049,00017
00049,00018
00049,00019
00049,00022
00049,00023
00049,00025
00049,00029
00049,00030
00049,00035
00049,00037
00049,00038
00049,00040
00049,00044
00049,00050
00049,00052
00049,00053
00049,00055
00049,00057
00049,00058
00049,00059
00050,00010
00050,00011
00050,00014
00050,00017
00050,00018
00050,00019
00050,00022
00050,00023
00050,00025
00050,00029
00050,00030
00050,00035
00050,00037
00050,00038
00050,00040
00050,00044
00050,00049
00050,00052
00050,00053
00050,00055
00050,00057
00050,00058
00050,00059
00052,00010
00052,00011
00052,00014
00052,00017
00052,00018
00052,00019
00052,00022
00052,00023
00052,00025
00052,00029
00052,00030
00052,00035
00052,00037
00052,00038
00052,00040
00052,00044
00052,00049
00052,00050
00052,00053
00052,00055
00052,00057
00052,00058
00052,00059
00053,00010
00053,00011
00053,00014
00053,00017
00053,00018
00053,00019
00053,00022
00053,00023
00053,00025
00053,00029
00053,00030
00053,00035
00053,00037
00053,00038
00053,00040
00053,00044
00053,00049
00053,00050
00053,00052
00053,00055
00053,00057
00053,00058
00053,00059
00055,00010
00055,00011
00055,00014
00055,00017
00055,00018
00055,00019
00055,00022
00055,00023
00055,00025
00055,00029
00055,00030
00055,00035
00055,00037
00055,00038
00055,00040
00055,00044
00055,00049
00055,00050
00055,00052
00055,00053
00055,00057
00055,00058
00055,00059
00057,00010
00057,00011
00057,00014
00057,00017
00057,00018
00057,00019
00057,00022
00057,00023
00057,00025
00057,00029
00057,00030
00057,00035
00057,00037
00057,00038
00057,00040
00057,00044
00057,00049
00057,00050
00057,00052
00057,00053
00057,00055
00057,00058
00057,00059
00058,00010
00058,00011
00058,00014
00058,00017
00058,00018
00058,00019
00058,00022
00058,00023
00058,00025
00058,00029
00058,00030
00058,00035
00058,00037
00058,00038
00058,00040
00058,00044
00058,00049
00058,00050
00058,00052
00058,00053
00058,00055
00058,00057
00058,00059
00059,00010
00059,00011
00059,00014
00059,00017
00059,00018
00059,00019
00059,00022
00059,00023
00059,00025
00059,00029
00059,00030
00059,00035
00059,00037
00059,00038
00059,00040
00059,00044
00059,00049
00059,00050
00059,00052
00059,00053
00059,00055
00059,00057
00059,00058
00010,00009
00011,00009
00014,00009
00017,00009
00018,00009
00019,00009
00022,00009
00023,00009
00025,00009
00029,00009
00030,00009
00035,00009
00037,00009
00038,00009
00040,00009
00044,00009
00049,00009
00050,00009
00052,00009
00053,00009
00055,00009
00057,00009
00058,00009
00059,00009
00009,00073
00010,00073
00011,00073
00014,00073
00017,00073
00018,00073
00019,00073
00022,00073
00023,00073
00025,00073
00029,00073
00030,00073
00035,00073
00037,00073
00038,00073
00040,00073
00044,00073
00049,00073
00050,00073
00052,00073
00053,00073
00055,00073
00057,00073
00058,00073
00059,00073
00073,00009
00073,00010
00073,00011
00073,00014
00073,00017
00073,00018
00073,00019
00073,00022
00073,00023
00073,00025
00073,00029
00073,00030
00073,00035
00073,00037
00073,00038
00073,00040
00073,00044
00073,00049
00073,00050
00073,00052
00073,00053
00073,00055
00073,00057
00073,00058
00073,00059
