primary_defect_code_id,secondary_defect_code_id
88888,00102
88888,00103
99999,00107
99999,00108
99999,00109
00001,00101
00001,00102
00001,00103
00002,00104
00002,00105
00002,00106
00003,00107
00003,00108
00003,00109
00004,00110
00004,00111
00004,00112
00005,00113
00006,00114
00006,00115
00006,00116
00006,00117
00006,00118
00006,00119
00007,00102
00007,00120
00008,00121
00008,00122
00009,00123
00009,00124
00010,00125
00010,00126
00010,00127
00010,00128
00011,00129
00011,00130
00011,00131
00012,00129
00012,00132
00012,00133
00013,00134
00013,00135
00013,00136
00014,00137
00015,00138
00015,00139
00015,00140
00016,00141
00016,00142
00016,00143
00017,00144
00017,00145
00017,00146
00018,00147
00018,00148
00019,00149
00019,00150
00019,00151
00020,00152
00020,00153
00021,00154
00021,00155
00021,00156
